,0,1,2
Sedentary,1600.0,1800.0,2000.0
Protein (Cal),120.0,135.0,150.0
Carbohydrate (Cal),280.0,315.0,350.0
Fiber (gr),19.0,19.0,19.0
Total Sugar (Cal),64.0,72.0,80.0
Total lipid (Cal),160.0,180.0,200.0
Total Trans Fat (Cal),16.0,18.0,20.0
Total Saturated Fat (Cal),48.0,54.0,60.0
Cholesterol (mg),100.0,100.0,100.0
Calcium (mg),582.5,582.5,582.5
Iron (mg),10.0,10.0,10.0
"Sodium, (mg)",460.0,460.0,460.0
Vitamin A (mcg RAE),615.0,615.0,615.0
Vitamin C (mg),21.0,21.0,21.0
Calories per Meal,533.33,600.0,666.67
Domino's,0.7058823529411765,0.7058823529411765,0.7058823529411765
California Pizza Kitchen,0.5250000000000001,0.5750000000000002,0.6000000000000002
Extreme Pizza,0.5500000000000002,0.5750000000000002,0.5750000000000002
Denny's,0.5476190476190479,0.5476190476190479,0.5952380952380956
Peter Piper Pizza,0.4375,0.5,0.5
Panera Bread,0.4500000000000001,0.47500000000000014,0.5000000000000001
Blaze Pizza,0.388888888888889,0.4722222222222224,0.4722222222222224
BJ's Restaurants,0.3513513513513512,0.3513513513513512,0.3513513513513512
Johnny Carino's,0.26923076923076916,0.26923076923076916,0.2884615384615384
Corner Bakery Cafe,0.24999999999999997,0.24999999999999997,0.3
Pizza Hut,0.24999999999999997,0.26666666666666666,0.26666666666666666
Burger King,0.18367346938775508,0.24489795918367344,0.24489795918367344
TGI Friday's,0.21052631578947367,0.21052631578947367,0.21052631578947367
Which Wich,0.15555555555555556,0.2,0.2
Chuy's,0.15151515151515152,0.18181818181818182,0.18181818181818182
Applebee's,0.14705882352941177,0.14705882352941177,0.2058823529411765
Chili's,0.14285714285714285,0.14285714285714285,0.2
Jack in the Box,0.16129032258064516,0.16129032258064516,0.16129032258064516
Schlotzsky's,0.12962962962962962,0.16666666666666666,0.18518518518518517
Mimi's Cafe,0.125,0.125,0.15625
Newk's Eatery,0.1090909090909091,0.14545454545454548,0.14545454545454548
Romano's Macaroni Grill,0.07500000000000001,0.1,0.15
McDonald's,0.08,0.12000000000000001,0.12000000000000001
Mod Pizza,0.0967741935483871,0.0967741935483871,0.0967741935483871
Perkins Restaurant And Bakery,0.06976744186046512,0.09302325581395349,0.11627906976744186
LongHorn Steakhouse,0.05555555555555555,0.1111111111111111,0.1111111111111111
Dairy Queen,0.022222222222222223,0.08888888888888889,0.11111111111111112
Sonic,0.05405405405405406,0.05405405405405406,0.08108108108108109
La Salsa Fresh Mexican Grill,0.0625,0.0625,0.0625
Carl's Jr,0.06060606060606061,0.06060606060606061,0.06060606060606061
Tropical Smoothie Cafe,0.06060606060606061,0.06060606060606061,0.06060606060606061
Frullati Cafe & Bakery,0.05172413793103448,0.05172413793103448,0.05172413793103448
Jersey Mike's Subs,0.05,0.05,0.05
Taco Bueno,0.025,0.025,0.1
Starbucks,0.041666666666666664,0.041666666666666664,0.041666666666666664
Cheesecake Factory,0.02564102564102564,0.02564102564102564,0.02564102564102564
Whataburger,0.0,0.023809523809523808,0.023809523809523808
Redbrick Pizza,0.0,0.0,0.0
Doubledave's Pizzaworks,0.0,0.0,0.0
