,Restaurant,Food_Name,Nutrients,Calories
11,Starbucks,Burrata & Basil Pesto Small Sandwich,"[{'value': 11, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 34, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 540, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 66, 'attr_id': 401}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",300
12,Starbucks,Chicken & Double-Smoked Bacon Sandwich,"[{'value': 31, 'attr_id': 203}, {'value': 26, 'attr_id': 204}, {'value': 65, 'attr_id': 205}, {'value': 620, 'attr_id': 208}, {'value': 11, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 1460, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 110, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",620
13,Starbucks,Certified Gluten-Free Breakfast Sandwich,"[{'value': 18, 'attr_id': 203}, {'value': 13, 'attr_id': 204}, {'value': 18, 'attr_id': 205}, {'value': 280, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 740, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 165, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",280
14,Starbucks,Smoked Mozzarella & Roasted Pepper Sandwich,"[{'value': 18, 'attr_id': 203}, {'value': 28, 'attr_id': 204}, {'value': 46, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 455, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 990, 'attr_id': 307}, {'value': 3000, 'attr_id': 318}, {'value': 48, 'attr_id': 401}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",500
15,Starbucks,Herbed Chicken & Fig Spread Small Sandwich,"[{'value': 19, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 43, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 9, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 720, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 45, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",300
16,Starbucks,Reduced-Fat Turkey Bacon Breakfast Sandwich,"[{'value': 18, 'attr_id': 203}, {'value': 5, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 560, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",210
17,Starbucks,"Double-Smoked Bacon, Cheddar & Egg Sandwich","[{'value': 21, 'attr_id': 203}, {'value': 27, 'attr_id': 204}, {'value': 40, 'attr_id': 205}, {'value': 490, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 910, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 215, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",490
18,Starbucks,Chicken Artichoke Sandwich on Ancient Grain Flatbread,"[{'value': 24, 'attr_id': 203}, {'value': 27, 'attr_id': 204}, {'value': 37, 'attr_id': 205}, {'value': 510, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 390, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 1120, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 42, 'attr_id': 401}, {'value': 70, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",510
19,Starbucks,"Slow-Roasted Ham, Swiss & Egg Breakfast Sandwich","[{'value': 24, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 42, 'attr_id': 205}, {'value': 450, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 780, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 220, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 12, 'attr_id': 606}]",450
20,The Capital Grille,Crispy Chicken Sandwich,"[{'value': 48, 'attr_id': 203}, {'value': 34, 'attr_id': 204}, {'value': 59, 'attr_id': 205}, {'value': 730, 'attr_id': 208}, {'value': 12, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1400, 'attr_id': 307}, {'value': 200, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",730
21,The Capital Grille,Ribeye Steak Sandwich With Onions And Havarti,"[{'value': 91, 'attr_id': 203}, {'value': 59, 'attr_id': 204}, {'value': 71, 'attr_id': 205}, {'value': 1180, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1270, 'attr_id': 307}, {'value': 235, 'attr_id': 601}, {'value': 2, 'attr_id': 605}, {'value': 30, 'attr_id': 606}]",1180
22,Which Wich,Club Sandwich - Super,"[{'value': 59, 'attr_id': 203}, {'value': 25, 'attr_id': 204}, {'value': 115, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 12, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 4010, 'attr_id': 307}, {'value': 12, 'attr_id': 606}]",920
23,Which Wich,Grinder Sandwich - Large,"[{'value': 37, 'attr_id': 203}, {'value': 42, 'attr_id': 204}, {'value': 82, 'attr_id': 205}, {'value': 870, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 3010, 'attr_id': 307}, {'value': 19, 'attr_id': 606}]",870
24,Which Wich,Ham Sandwich - Regular,"[{'value': 23, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 390, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 1970, 'attr_id': 307}, {'value': 3.5, 'attr_id': 606}]",390
25,Which Wich,Meatball Sandwich - Regular,"[{'value': 31, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 64, 'attr_id': 205}, {'value': 630, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 1610, 'attr_id': 307}, {'value': 13, 'attr_id': 606}]",630
26,Which Wich,Turkeywich Sandwich - Large,"[{'value': 40, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 103, 'attr_id': 205}, {'value': 790, 'attr_id': 208}, {'value': 18, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 2870, 'attr_id': 307}, {'value': 6, 'attr_id': 606}]",790
27,Which Wich,Avocado Sandwich - Large,"[{'value': 15, 'attr_id': 203}, {'value': 20, 'attr_id': 204}, {'value': 91, 'attr_id': 205}, {'value': 600, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 990, 'attr_id': 307}, {'value': 5, 'attr_id': 606}]",600
28,Which Wich,Avocado Sandwich - Regular,"[{'value': 10, 'attr_id': 203}, {'value': 13, 'attr_id': 204}, {'value': 61, 'attr_id': 205}, {'value': 400, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 660, 'attr_id': 307}, {'value': 3.5, 'attr_id': 606}]",400
29,Which Wich,Caprese Sandwich - Super,"[{'value': 47, 'attr_id': 203}, {'value': 45, 'attr_id': 204}, {'value': 126, 'attr_id': 205}, {'value': 1100, 'attr_id': 208}, {'value': 17, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 2010, 'attr_id': 307}, {'value': 23, 'attr_id': 606}]",1100
30,Which Wich,Chicken Sandwich - Super,"[{'value': 53, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 110, 'attr_id': 205}, {'value': 740, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 2910, 'attr_id': 307}, {'value': 5, 'attr_id': 606}]",740
31,Which Wich,Ham Sandwich - Super,"[{'value': 46, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 117, 'attr_id': 205}, {'value': 780, 'attr_id': 208}, {'value': 14, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 3930, 'attr_id': 307}, {'value': 7, 'attr_id': 606}]",780
32,Which Wich,Muffuletta Sandwich - Large,"[{'value': 59, 'attr_id': 203}, {'value': 77, 'attr_id': 204}, {'value': 84, 'attr_id': 205}, {'value': 1300, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 5620, 'attr_id': 307}, {'value': 29, 'attr_id': 606}]",1300
33,Which Wich,Muffuletta Sandwich - Regular,"[{'value': 35, 'attr_id': 203}, {'value': 41, 'attr_id': 204}, {'value': 57, 'attr_id': 205}, {'value': 760, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 3410, 'attr_id': 307}, {'value': 16, 'attr_id': 606}]",760
34,Which Wich,Caprese Sandwich - Large,"[{'value': 36, 'attr_id': 203}, {'value': 34, 'attr_id': 204}, {'value': 95, 'attr_id': 205}, {'value': 820, 'attr_id': 208}, {'value': 12, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1500, 'attr_id': 307}, {'value': 17, 'attr_id': 606}]",820
35,Which Wich,Chicken Sandwich - Large,"[{'value': 40, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 82, 'attr_id': 205}, {'value': 560, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 2180, 'attr_id': 307}, {'value': 4, 'attr_id': 606}]",560
36,Which Wich,Chicken Sandwich - Regular,"[{'value': 27, 'attr_id': 203}, {'value': 5, 'attr_id': 204}, {'value': 55, 'attr_id': 205}, {'value': 370, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 1450, 'attr_id': 307}, {'value': 2.5, 'attr_id': 606}]",370
