,Restaurant,Food_Name,Nutrients,Calories
14,Wendy's,Sausage and Egg Burrito,"[{'value': 17, 'attr_id': 203}, {'value': 20, 'attr_id': 204}, {'value': 29, 'attr_id': 205}, {'value': 360, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 920, 'attr_id': 307}, {'value': 210, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",360
15,Wendy's,Two Sausage and Egg Burritos,"[{'value': 34, 'attr_id': 203}, {'value': 41, 'attr_id': 204}, {'value': 59, 'attr_id': 205}, {'value': 720, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 1830, 'attr_id': 307}, {'value': 420, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 16, 'attr_id': 606}]",720
16,Sonic,Supersonic Breakfast Burrito,"[{'value': 24, 'attr_id': 203}, {'value': 35, 'attr_id': 204}, {'value': 49, 'attr_id': 205}, {'value': 610, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 455, 'attr_id': 301}, {'value': 4.5, 'attr_id': 303}, {'value': 1800, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 3.6, 'attr_id': 401}, {'value': 325, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 14, 'attr_id': 606}]",610
17,Sonic,Jr. Breakfast Burrito,"[{'value': 12, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 290, 'attr_id': 208}, {'value': 0, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 820, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 145, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",290
18,Sonic,Breakfast Burrito with Ham,"[{'value': 27, 'attr_id': 203}, {'value': 20, 'attr_id': 204}, {'value': 38, 'attr_id': 205}, {'value': 440, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 390, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 1920, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 330, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",440
19,Sonic,Breakfast Burrito with Sausage,"[{'value': 23, 'attr_id': 203}, {'value': 30, 'attr_id': 204}, {'value': 35, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 390, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 1430, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 325, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",500
20,Sonic,Breakfast Burrito with Bacon,"[{'value': 25, 'attr_id': 203}, {'value': 25, 'attr_id': 204}, {'value': 35, 'attr_id': 205}, {'value': 470, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 390, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 1540, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 320, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",470
21,Sonic,Ultimate Meat & Cheese Breakfast Burrito,"[{'value': 30, 'attr_id': 203}, {'value': 58, 'attr_id': 204}, {'value': 47, 'attr_id': 205}, {'value': 840, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 390, 'attr_id': 301}, {'value': 4.5, 'attr_id': 303}, {'value': 2020, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 360, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 19, 'attr_id': 606}]",840
22,McDonald's,Chorizo Burrito,"[{'value': 16, 'attr_id': 203}, {'value': 15, 'attr_id': 204}, {'value': 28, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 820, 'attr_id': 307}, {'value': 1250, 'attr_id': 318}, {'value': 2.4, 'attr_id': 401}, {'value': 175, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",310
23,McDonald's,Sausage Burrito,"[{'value': 13, 'attr_id': 203}, {'value': 16, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 780, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 165, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",300
