Restaurant,Food_Name,Nutrients,Calories
Schlotzsky's,Garden Salad Salad,"[{'value': 1, 'attr_id': 203}, {'value': 1.5, 'attr_id': 204}, {'value': 9, 'attr_id': 205}, {'value': 45, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 280, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",45
Schlotzsky's,"Garden Salad Salad, Pick 2","[{'value': 1, 'attr_id': 203}, {'value': 0.5, 'attr_id': 204}, {'value': 4, 'attr_id': 205}, {'value': 25, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 140, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",25
Schlotzsky's,Chicken Caesar Salad,"[{'value': 37, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 29, 'attr_id': 205}, {'value': 680, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 1770, 'attr_id': 307}, {'value': 100, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",680
Schlotzsky's,Southwestern Chicken Salad,"[{'value': 46, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 44, 'attr_id': 205}, {'value': 600, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 8, 'attr_id': 291}, {'value': 1260, 'attr_id': 307}, {'value': 120, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",600
Schlotzsky's,Turkey Avocado Cobb Salad,"[{'value': 38, 'attr_id': 203}, {'value': 33, 'attr_id': 204}, {'value': 42, 'attr_id': 205}, {'value': 610, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 12, 'attr_id': 291}, {'value': 1880, 'attr_id': 307}, {'value': 250, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",610
Schlotzsky's,"Southwestern Chicken Salad, Pick 2","[{'value': 23, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 630, 'attr_id': 307}, {'value': 60, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",300
Schlotzsky's,Fresh Kale & Grilled Chicken Salad,"[{'value': 38, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 52, 'attr_id': 205}, {'value': 630, 'attr_id': 208}, {'value': 34, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 1220, 'attr_id': 307}, {'value': 255, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",630
Schlotzsky's,"Cranberry, Apple & Pecan Chicken Salad","[{'value': 34, 'attr_id': 203}, {'value': 27, 'attr_id': 204}, {'value': 68, 'attr_id': 205}, {'value': 640, 'attr_id': 208}, {'value': 40, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 1220, 'attr_id': 307}, {'value': 80, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",640
Schlotzsky's,"Chicken Caesar Salad, Pick 2","[{'value': 19, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 15, 'attr_id': 205}, {'value': 340, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 890, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",340
Schlotzsky's,"Turkey Avocado Cobb Salad, Pick 2","[{'value': 19, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 21, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 940, 'attr_id': 307}, {'value': 125, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",310
Schlotzsky's,"Cranberry, Apple & Pecan Chicken Salad, Pick 2","[{'value': 17, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 34, 'attr_id': 205}, {'value': 320, 'attr_id': 208}, {'value': 20, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 610, 'attr_id': 307}, {'value': 40, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",320
Schlotzsky's,"Fresh Kale & Grilled Chicken Salad, Pick 2","[{'value': 19, 'attr_id': 203}, {'value': 15, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 320, 'attr_id': 208}, {'value': 17, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 610, 'attr_id': 307}, {'value': 130, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4.5, 'attr_id': 606}]",320
Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Medium","[{'value': 20, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 74, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1050, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",500
