,Restaurant,Food_Name,Nutrients,Calories
12,Denny's,"Build Your Own Burger, American Cheese","[{'value': 4, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 1, 'attr_id': 205}, {'value': 80, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 390, 'attr_id': 307}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",80
13,Denny's,"Build Your Own Burger, Veggie Patty","[{'value': 17, 'attr_id': 203}, {'value': 3, 'attr_id': 204}, {'value': 19, 'attr_id': 205}, {'value': 170, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 490, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",170
14,Denny's,Bourbon Bacon Burger (Add Side Choice),"[{'value': 50, 'attr_id': 203}, {'value': 52, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 910, 'attr_id': 208}, {'value': 18, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 2110, 'attr_id': 307}, {'value': 165, 'attr_id': 601}, {'value': 2, 'attr_id': 605}, {'value': 21, 'attr_id': 606}]",910
15,Denny's,"Build Your Own Burger, Bourbon Sauce","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 110, 'attr_id': 208}, {'value': 24, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 270, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",110
16,Denny's,"Build Your Own Burger, Caramelized Onions","[{'value': 0, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 70, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 210, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1, 'attr_id': 606}]",70
17,Denny's,"Build Your Own Burger, Cheddar Bun","[{'value': 8, 'attr_id': 203}, {'value': 5, 'attr_id': 204}, {'value': 40, 'attr_id': 205}, {'value': 250, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 430, 'attr_id': 307}, {'value': 5, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",250
18,Denny's,"Build Your Own Burger, Bacon Strips","[{'value': 7, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 1, 'attr_id': 205}, {'value': 100, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 350, 'attr_id': 307}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",100
19,Denny's,"Build Your Own Burger, Brioche Bun","[{'value': 8, 'attr_id': 203}, {'value': 4.5, 'attr_id': 204}, {'value': 45, 'attr_id': 205}, {'value': 250, 'attr_id': 208}, {'value': 9, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 380, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",250
20,Denny's,"Build Your Own Burger, Fresh Avocado","[{'value': 1, 'attr_id': 203}, {'value': 4, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 45, 'attr_id': 208}, {'value': 0, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 0, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0.5, 'attr_id': 606}]",45
21,Denny's,"Build Your Own Burger, Red Onions","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 5, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 0, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",5
